               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.06964,            0.082773,            0.065273,             0.49957,            0.040242,            0.021446,           0.0082844,            0.073028,            0.064297,            0.067636,            0.008845,            0.008845,            0.008845
                  37,            0.068981,            0.084305,            0.065245,             0.50517,            0.043703,            0.022224,           0.0085253,            0.073022,            0.063975,            0.067475,            0.008812,            0.008812,            0.008812
                  38,            0.069065,            0.085939,             0.06447,             0.56632,            0.048624,            0.026057,            0.010533,              0.0723,            0.063711,            0.066531,            0.008779,            0.008779,            0.008779
                  39,            0.068441,            0.082362,             0.06341,             0.48838,            0.051041,            0.025259,            0.010051,            0.072537,            0.063836,            0.066068,            0.008746,            0.008746,            0.008746
                  40,            0.069335,            0.084737,            0.062612,             0.45456,            0.051028,            0.026305,            0.010463,            0.072137,            0.063727,            0.065721,            0.008713,            0.008713,            0.008713
                  41,            0.068428,            0.084387,            0.063378,             0.42467,            0.055163,            0.025056,           0.0097965,            0.071935,            0.068778,            0.065356,             0.00868,             0.00868,             0.00868
                  42,            0.067713,            0.083831,            0.061531,             0.42795,            0.050882,            0.026639,            0.010358,            0.071278,            0.064476,            0.065029,            0.008647,            0.008647,            0.008647
                  43,            0.068099,            0.081957,            0.062671,             0.42294,            0.053327,            0.029751,            0.011795,             0.07208,            0.063171,            0.065032,            0.008614,            0.008614,            0.008614
                  44,            0.067241,            0.082236,            0.061066,             0.45046,            0.059274,            0.030386,            0.011889,            0.071589,            0.064826,            0.064996,            0.008581,            0.008581,            0.008581
                  45,            0.067284,            0.082736,            0.060544,             0.44934,             0.05712,            0.030531,            0.012044,             0.07248,            0.063699,            0.065133,            0.008548,            0.008548,            0.008548
                  46,            0.067109,            0.081871,            0.061722,             0.39233,            0.061008,            0.031602,            0.012427,            0.071124,            0.064057,            0.064502,            0.008515,            0.008515,            0.008515
                  47,            0.066623,            0.084021,            0.059838,             0.36004,            0.062174,             0.03156,            0.012648,            0.071349,            0.063944,              0.0644,            0.008482,            0.008482,            0.008482
                  48,            0.066055,            0.081843,            0.059165,             0.39266,            0.059421,            0.033423,            0.013923,            0.071115,            0.064009,            0.064194,            0.008449,            0.008449,            0.008449
                  49,            0.065945,            0.083008,            0.058855,             0.37113,            0.065901,            0.033817,            0.013848,            0.070605,            0.065052,            0.063119,            0.008416,            0.008416,            0.008416
                  50,            0.065851,            0.082077,            0.059109,              0.3741,            0.072428,            0.035721,            0.014303,            0.070839,            0.064502,            0.063126,            0.008383,            0.008383,            0.008383
                  51,            0.064893,            0.079628,            0.057331,             0.36965,            0.067039,            0.033809,            0.013429,            0.071237,            0.064046,            0.062776,             0.00835,             0.00835,             0.00835
                  52,            0.064967,            0.080944,            0.057737,             0.37092,            0.068298,            0.035112,            0.014368,            0.070402,              0.0662,            0.062499,            0.008317,            0.008317,            0.008317
                  53,            0.064209,            0.081601,            0.057292,             0.39458,            0.070971,            0.040011,            0.016078,            0.070273,             0.06529,            0.062412,            0.008284,            0.008284,            0.008284
                  54,            0.064402,            0.080958,            0.056504,             0.36223,            0.075331,            0.039447,            0.016297,            0.070153,            0.064876,             0.06232,            0.008251,            0.008251,            0.008251
                  55,            0.063822,            0.079116,            0.056582,             0.36184,            0.074736,            0.039308,            0.015847,            0.071287,            0.064384,            0.062059,            0.008218,            0.008218,            0.008218
                  56,            0.064598,            0.081559,            0.056028,             0.37009,             0.07926,            0.043139,            0.017922,            0.070482,            0.064083,            0.061576,            0.008185,            0.008185,            0.008185
                  57,            0.063095,            0.077744,            0.055125,             0.37024,            0.079586,            0.044352,            0.018468,            0.069826,            0.064849,            0.061383,            0.008152,            0.008152,            0.008152
                  58,            0.063709,            0.079873,            0.055211,             0.35705,            0.076012,            0.041033,            0.017265,            0.070819,            0.066168,            0.061474,            0.008119,            0.008119,            0.008119
                  59,               0.063,            0.078732,            0.053974,             0.36012,            0.080451,             0.04491,            0.018536,            0.070976,             0.06426,            0.061566,            0.008086,            0.008086,            0.008086
                  60,            0.063048,            0.076838,            0.054725,             0.33277,            0.081905,            0.045307,            0.018568,            0.070178,             0.06501,            0.061078,            0.008053,            0.008053,            0.008053
